FontFamilyName, FontSize, Width, dpiX, dpiY
Bahnschrift Light SemiCondensed, 5, 3, 96, 96
Bahnschrift Light SemiCondensed, 6, 4, 96, 96
Bahnschrift Light SemiCondensed, 7, 5, 96, 96
Bahnschrift Light SemiCondensed, 8, 5, 96, 96
Bahnschrift Light SemiCondensed, 9, 6, 96, 96
Bahnschrift Light SemiCondensed, 10, 6, 96, 96
Bahnschrift Light SemiCondensed, 11, 7, 96, 96
Bahnschrift Light SemiCondensed, 12, 8, 96, 96
Bahnschrift Light SemiCondensed, 13, 8, 96, 96
Bahnschrift Light SemiCondensed, 14, 9, 96, 96
Bahnschrift Light SemiCondensed, 15, 10, 96, 96
Bahnschrift Light SemiCondensed, 16, 10, 96, 96
Bahnschrift Light SemiCondensed, 17, 11, 96, 96
Bahnschrift Light SemiCondensed, 18, 12, 96, 96
Bahnschrift Light SemiCondensed, 19, 12, 96, 96
Bahnschrift Light SemiCondensed, 20, 13, 96, 96
Bahnschrift Light SemiCondensed, 21, 14, 96, 96
Bahnschrift Light SemiCondensed, 22, 14, 96, 96
Bahnschrift Light SemiCondensed, 23, 15, 96, 96
Bahnschrift Light SemiCondensed, 24, 15, 96, 96
Bahnschrift Light SemiCondensed, 25, 16, 96, 96
Bahnschrift SemiBold, 2, 1, 96, 96
Bahnschrift SemiBold, 3, 2, 96, 96
Bahnschrift SemiBold, 4, 3, 96, 96
Bahnschrift SemiBold, 5, 4, 96, 96
Bahnschrift SemiBold, 6, 4, 96, 96
Bahnschrift SemiBold, 7, 5, 96, 96
Bahnschrift SemiBold, 8, 6, 96, 96
Bahnschrift SemiBold, 9, 7, 96, 96
Bahnschrift SemiBold, 10, 7, 96, 96
Bahnschrift SemiBold, 11, 8, 96, 96
Bahnschrift SemiBold, 12, 9, 96, 96
Bahnschrift SemiBold, 13, 10, 96, 96
Bahnschrift SemiBold, 14, 10, 96, 96
Bahnschrift SemiBold, 15, 11, 96, 96
Bahnschrift SemiBold, 16, 12, 96, 96
Bahnschrift SemiBold, 17, 13, 96, 96
